t_s,v_kmh,v_ms,grade_pct,dist_m,P_wheel_kW
342.0000,0.0000,0.0000,0.0000,3092.4492,0.0000
343.0000,0.0000,0.0000,0.0000,3092.4492,0.0000
344.0000,0.0000,0.0000,0.0000,3092.4492,0.0000
345.0000,0.0000,0.0000,0.0000,3092.4492,0.0000
346.0000,0.0000,0.0000,0.0000,3092.4492,0.0000
347.0000,0.0000,0.0000,0.0000,3092.4492,0.0000
348.0000,0.0000,0.0000,0.0000,3092.4492,0.0000
349.0000,0.0000,0.0000,0.0000,3092.4492,0.0000
350.0000,0.0000,0.0000,0.0000,3092.4492,0.0000
351.0000,0.0000,0.0000,0.0000,3092.4492,0.0000
352.0000,1.1328,0.3147,0.0000,3092.5048,2.4489
353.0000,4.9077,1.3633,0.0000,3093.3439,10.6065
354.0000,8.6735,2.4093,0.0000,3095.2305,18.6930
355.0000,12.4120,3.4478,0.0000,3098.1599,26.5429
356.0000,16.0956,4.4710,0.0000,3102.1210,33.9016
357.0000,19.6888,5.4691,0.0000,3107.0936,40.4556
358.0000,23.1505,6.4307,0.0000,3113.0470,45.8800
359.0000,26.4380,7.3439,0.0000,3119.9387,49.8975
360.0000,29.5112,8.1976,0.0000,3127.7148,52.3355
361.0000,32.3363,8.9823,0.0000,3136.3107,53.1647
362.0000,34.8892,9.6915,0.0000,3145.6540,52.5069
363.0000,37.0582,10.2940,0.0000,3155.6630,40.7898
364.0000,38.1647,10.6013,0.0000,3166.1295,25.0116
365.0000,38.8623,10.7951,0.0000,3176.8318,21.8624
366.0000,39.4186,10.9496,0.0000,3187.7063,20.7723
367.0000,39.9420,11.0950,0.0000,3198.7291,20.4861
368.0000,40.4459,11.2350,0.0000,3209.8961,19.5243
369.0000,40.8765,11.3546,0.0000,3221.1904,20.4463
370.0000,41.3087,11.4746,0.0000,3232.6087,17.9088
371.0000,41.5496,11.5416,0.0000,3244.1206,14.3828
372.0000,41.7020,11.5839,0.0000,3255.6839,14.0626
373.0000,41.8975,11.6382,0.0000,3267.2931,15.7383
374.0000,42.1299,11.7027,0.0000,3278.9651,14.6404
375.0000,42.3327,11.7591,0.0000,3290.6938,16.5065
376.0000,42.4693,11.7970,0.0000,3302.4777,11.9887
377.0000,42.4785,11.7996,0.0000,3314.2758,11.2301
378.0000,42.3324,11.7590,0.0000,3326.0622,4.9543
379.0000,42.0028,11.6675,0.0000,3337.7782,2.6567
380.0000,41.5533,11.5426,0.0000,3349.3868,-0.1414
381.0000,41.1438,11.4288,0.0000,3360.8681,4.0190
382.0000,41.0378,11.3994,0.0000,3372.2747,11.5698
383.0000,41.1605,11.4335,0.0000,3383.6912,12.0077
384.0000,41.2186,11.4496,0.0000,3395.1337,9.3378
385.0000,41.1400,11.4278,0.0000,3406.5716,8.6653
386.0000,41.0399,11.4000,0.0000,3417.9864,7.5924
387.0000,40.9444,11.3735,0.0000,3429.3700,10.3911
388.0000,41.0909,11.4141,0.0000,3440.7575,16.0877
389.0000,41.3084,11.4745,0.0000,3452.2033,14.3388
390.0000,41.4531,11.5148,0.0000,3463.6961,15.7970
391.0000,41.6213,11.5615,0.0000,3475.2391,0.9350
392.0000,37.4348,10.3986,0.0000,3486.3231,-95.3105
393.0000,32.1791,8.9386,0.0000,3495.9916,-82.5651
394.0000,26.9233,7.4787,0.0000,3504.2003,-69.5316
395.0000,21.6676,6.0188,0.0000,3510.9490,-56.2571
396.0000,16.4118,4.5588,0.0000,3516.2379,-42.7887
397.0000,11.1561,3.0989,0.0000,3520.0667,-29.1733
398.0000,5.9972,1.6659,0.0000,3522.4379,-13.0990
399.0000,2.9731,0.8259,0.0000,3523.6331,-2.7885
400.0000,1.4791,0.4109,0.0000,3524.2278,-0.5700
401.0000,0.7358,0.2044,0.0000,3524.5236,-0.0812
402.0000,0.3661,0.1017,0.0000,3524.6708,0.0097
403.0000,0.0000,0.0000,0.0000,3524.7414,-0.0000
404.0000,0.0000,0.0000,0.0000,3524.7414,0.0000
405.0000,0.0000,0.0000,0.0000,3524.7414,0.0000
406.0000,0.0000,0.0000,0.0000,3524.7414,0.0000
407.0000,0.0000,0.0000,0.0000,3524.7414,0.0000
408.0000,0.0000,0.0000,0.0000,3524.7414,0.0000
409.0000,0.0000,0.0000,0.0000,3524.7414,0.0000
410.0000,0.0000,0.0000,0.0000,3524.7414,0.0000
411.0000,0.0000,0.0000,0.0000,3524.7414,0.0000
412.0000,0.0000,0.0000,0.0000,3524.7414,0.0000
413.0000,0.0000,0.0000,0.0000,3524.7414,0.0000
414.0000,0.0000,0.0000,0.0000,3524.7414,0.0000
415.0000,0.0000,0.0000,0.0000,3524.7414,0.0000
416.0000,0.0000,0.0000,0.0000,3524.7414,0.0000
417.0000,0.0000,0.0000,0.0000,3524.7414,0.0000
418.0000,0.0000,0.0000,0.0000,3524.7414,0.0000
419.0000,0.0000,0.0000,0.0000,3524.7414,0.0000
420.0000,0.0000,0.0000,0.0000,3524.7414,0.0000
421.0000,0.0000,0.0000,0.0000,3524.7414,0.0000
422.0000,0.0000,0.0000,0.0000,3524.7414,0.0000
423.0000,0.0000,0.0000,0.0000,3524.7414,0.0000
424.0000,0.0000,0.0000,0.0000,3524.7414,0.0000
425.0000,0.0000,0.0000,0.0000,3524.7414,0.0000
426.0000,0.0000,0.0000,0.0000,3524.7414,0.0000
