# Project Volt WS11 - R34 10 Hz trace
# RULER (stock NPR-HD) / VOLT-REG / nominal / seed 23
# mass 6600 kg, payload 2900 kg, engine 4HK1-TC-ref-W, A465id 6-speed + 4.555 axle
t_s,v_kmh,grade_pct,P_wheel_kW,gear,lockup,N_eng_rpm,T_eng_Nm,P_shaft_eng_kW,fuel_g_per_s
21.3000,43.9240,0.2553,10.3845,5.0000,1.0000,1104.4553,121.0647,14.0021,1.0533
21.4000,43.9081,0.2552,9.8430,5.0000,1.0000,1104.0552,116.0249,13.4144,1.0224
21.5000,43.8909,0.2551,9.7820,5.0000,1.0000,1103.6224,115.4960,13.3480,1.0188
21.6000,43.8745,0.2550,10.2265,5.0000,1.0000,1103.2108,119.7104,13.8299,1.0438
21.7000,43.8612,0.2549,11.2025,5.0000,1.0000,1102.8759,128.9132,14.8886,1.0989
21.8000,43.8533,0.2548,12.4979,5.0000,1.0000,1102.6771,141.1053,16.2937,1.1719
21.9000,43.8512,0.2547,13.7415,5.0000,1.0000,1102.6237,152.7964,17.6429,1.2416
22.0000,43.8540,0.2546,14.6860,5.0000,1.0000,1102.6945,161.6607,18.6676,1.2944
22.1000,43.8600,0.2545,15.3139,5.0000,1.0000,1102.8455,167.5371,19.3488,1.3295
22.2000,43.8682,0.2544,15.7326,5.0000,1.0000,1103.0517,171.4399,19.8032,1.3529
22.3000,43.8778,0.2542,16.1399,5.0000,1.0000,1103.2925,175.2279,20.2452,1.3756
22.4000,43.8894,0.2541,16.3530,5.0000,1.0000,1103.5859,177.1839,20.4767,1.3875
22.5000,43.9008,0.2540,16.3903,5.0000,1.0000,1103.8715,177.4891,20.5172,1.3897
22.6000,43.9127,0.2539,16.6074,5.0000,1.0000,1104.1718,179.4804,20.7531,1.4019
22.7000,43.9259,0.2538,17.0655,5.0000,1.0000,1104.5031,183.7250,21.2502,1.4274
22.8000,43.9417,0.2537,17.6164,5.0000,1.0000,1104.9009,188.8259,21.8481,1.4580
22.9000,43.9596,0.2536,18.1483,5.0000,1.0000,1105.3493,193.7374,22.4255,1.4876
23.0000,43.9799,0.2534,18.5485,5.0000,1.0000,1105.8599,197.3997,22.8600,1.5099
23.1000,44.0010,0.2533,18.5825,5.0000,1.0000,1106.3922,197.6263,22.8972,1.5120
23.2000,44.0215,0.2532,18.2712,5.0000,1.0000,1106.9074,194.6238,22.5598,1.4951
23.3000,44.0399,0.2531,17.5509,5.0000,1.0000,1107.3700,187.8069,21.7787,1.4556
23.4000,44.0541,0.2530,16.6103,5.0000,1.0000,1107.7276,178.9516,20.7586,1.4037
23.5000,44.0644,0.2528,15.7049,5.0000,1.0000,1107.9859,170.4460,19.7765,1.3535
23.6000,44.0708,0.2527,14.7564,5.0000,1.0000,1108.1473,161.5543,18.7476,1.3008
23.7000,44.0729,0.2526,13.8793,5.0000,1.0000,1108.2006,153.3479,17.7961,1.2518
23.8000,44.0719,0.2525,13.1969,5.0000,1.0000,1108.1730,146.9714,17.0557,1.2135
23.9000,44.0681,0.2523,12.6941,5.0000,1.0000,1108.0796,142.2827,16.5102,1.1852
24.0000,44.0628,0.2522,12.6044,5.0000,1.0000,1107.9444,141.4605,16.4128,1.1801
24.1000,44.0583,0.2521,13.1784,5.0000,1.0000,1107.8324,146.8418,17.0354,1.2123
24.2000,44.0579,0.2520,14.0453,5.0000,1.0000,1107.8216,154.9501,17.9759,1.2609
24.3000,44.0609,0.2518,15.0720,5.0000,1.0000,1107.8967,164.5403,19.0898,1.3183
24.4000,44.0692,0.2517,16.3000,5.0000,1.0000,1108.1070,175.9915,20.4222,1.3866
24.5000,44.0827,0.2516,17.6011,5.0000,1.0000,1108.4459,188.0993,21.8339,1.4588
24.6000,44.1022,0.2514,18.9668,5.0000,1.0000,1108.9350,200.7784,23.3159,1.5343
24.7000,44.1272,0.2513,20.4195,5.0000,1.0000,1109.5657,214.2307,24.8922,1.6142
24.8000,44.1590,0.2512,21.7979,5.0000,1.0000,1110.3641,226.9420,26.3881,1.6898
24.9000,44.1957,0.2510,22.8821,5.0000,1.0000,1111.2868,236.8667,27.5651,1.7491
25.0000,44.2365,0.2509,23.5925,5.0000,1.0000,1112.3128,243.2705,28.3364,1.7881
25.1000,44.2790,0.2508,23.7801,5.0000,1.0000,1113.3818,244.7878,28.5406,1.7988
25.2000,44.3211,0.2506,23.5338,5.0000,1.0000,1114.4415,242.2720,28.2741,1.7860
25.3000,44.3613,0.2505,23.2261,5.0000,1.0000,1115.4512,239.2004,27.9409,1.7698
25.4000,44.4006,0.2504,22.9114,5.0000,1.0000,1116.4388,236.0742,27.6002,1.7532
25.5000,44.4378,0.2502,22.1123,5.0000,1.0000,1117.3753,228.4734,26.7340,1.7103
25.6000,44.4701,0.2501,20.8509,5.0000,1.0000,1118.1867,216.6252,25.3660,1.6419
