# WS4-CONSTRUCTED Willans-line BSFC map - NOT measured
# engine: V3307-V1C-W  (Kubota V3307-CR-T class, 55.4 kW rated)
# displacement_l: 3.331, eta_i0: 0.435, fmep_bar(a0,a1,a2): (0.9, 0.32, 0.09), LHV_MJ_per_kg: 42.8, full_load_derate_applied: 1.0
# torque printed to 1e-4 Nm so the (torque, BSFC) pair is self-consistent for downstream interpolators (adjudication r1 F6)
rpm,torque_Nm,bsfc_g_per_kWh
1085,198.1200,231.3
1085,201.6400,231.9
1085,205.1600,232.6
1085,208.6800,233.3
1085,212.2000,234.0
1085,215.7200,234.7
1085,219.2400,235.5
1085,222.7600,236.3
1085,226.2800,237.1
1103,1.0000,7608.7
1103,4.5200,1839.7
1103,8.0400,1121.9
1103,11.5600,841.0
1103,15.0800,691.1
1103,18.6000,597.7
1103,22.1200,534.0
1103,25.6400,487.7
1103,29.1600,452.5
1103,32.6800,424.8
1103,36.2000,402.4
1103,39.7200,383.9
1103,43.2400,368.4
1103,46.7600,355.1
1103,50.2800,343.7
1103,53.8000,333.7
1103,57.3200,324.9
1103,60.8400,317.1
1103,64.3600,310.1
1103,67.8800,303.8
1103,71.4000,298.1
1103,74.9200,292.9
1103,78.4400,288.1
1103,81.9600,283.8
1103,85.4800,279.7
1103,89.0000,276.0
1103,92.5200,272.5
1103,96.0400,269.2
1103,99.5600,266.2
1103,103.0800,263.3
1103,106.6000,260.8
1103,110.1200,258.7
1103,113.6400,256.8
1103,117.1600,254.9
1103,120.6800,253.1
1103,124.2000,251.5
1103,127.7200,249.9
1103,131.2400,248.5
1103,134.7600,247.1
1103,138.2800,245.7
1103,141.8000,244.5
1103,145.3200,243.3
1103,148.8400,242.1
1103,152.3600,241.0
1103,155.8800,240.0
1103,159.4000,239.0
1103,162.9200,238.0
1103,166.4400,237.1
1103,169.9600,236.2
1103,173.4800,235.4
1103,177.0000,234.6
1103,180.5200,233.8
1103,184.0400,233.1
1103,187.5600,232.4
1103,191.0800,231.7
1103,194.6000,231.0
1103,198.1200,230.6
1103,201.6400,231.2
1103,205.1600,231.8
1103,208.6800,232.5
1103,212.2000,233.2
1103,215.7200,233.9
1103,219.2400,234.6
1103,222.7600,235.4
1103,226.2800,236.2
1103,229.8000,237.0
1122,1.0000,7656.7
1122,4.5200,1850.3
1122,8.0400,1127.8
1122,11.5600,845.0
1122,15.0800,694.2
1122,18.6000,600.2
1122,22.1200,536.1
1122,25.6400,489.5
1122,29.1600,454.0
1122,32.6800,426.2
1122,36.2000,403.6
1122,39.7200,385.0
1122,43.2400,369.4
1122,46.7600,356.1
1122,50.2800,344.6
1122,53.8000,334.6
1122,57.3200,325.7
1122,60.8400,317.9
1122,64.3600,310.8
1122,67.8800,304.5
1122,71.4000,298.8
1122,74.9200,293.5
1122,78.4400,288.7
1122,81.9600,284.3
1122,85.4800,280.2
1122,89.0000,276.5
1122,92.5200,273.0
1122,96.0400,269.7
1122,99.5600,266.6
1122,103.0800,263.7
1122,106.6000,261.2
1122,110.1200,259.0
1122,113.6400,257.1
1122,117.1600,255.2
1122,120.6800,253.4
1122,124.2000,251.8
1122,127.7200,250.2
1122,131.2400,248.7
1122,134.7600,247.3
1122,138.2800,245.9
1122,141.8000,244.7
1122,145.3200,243.5
1122,148.8400,242.3
1122,152.3600,241.2
1122,155.8800,240.2
1122,159.4000,239.2
1122,162.9200,238.2
1122,166.4400,237.3
1122,169.9600,236.4
1122,173.4800,235.6
1122,177.0000,234.7
1122,180.5200,234.0
1122,184.0400,233.2
1122,187.5600,232.5
1122,191.0800,231.8
1122,194.6000,231.1
1122,198.1200,230.5
1122,201.6400,230.6
1122,205.1600,231.3
1122,208.6800,231.9
1122,212.2000,232.6
1122,215.7200,233.3
1122,219.2400,234.0
1122,222.7600,234.7
1122,226.2800,235.5
1122,229.8000,236.3
1122,233.3200,237.1
1140,1.0000,7705.2
1140,4.5200,1860.9
1140,8.0400,1133.7
1140,11.5600,849.2
1140,15.0800,697.3
1140,18.6000,602.8
1140,22.1200,538.2
1140,25.6400,491.3
1140,29.1600,455.6
1140,32.6800,427.6
1140,36.2000,404.9
1140,39.7200,386.2
1140,43.2400,370.5
1140,46.7600,357.1
1140,50.2800,345.5
1140,53.8000,335.4
1140,57.3200,326.5
1140,60.8400,318.6
1140,64.3600,311.5
1140,67.8800,305.2
1140,71.4000,299.4
1140,74.9200,294.1
1140,78.4400,289.3
1140,81.9600,284.9
1140,85.4800,280.8
1140,89.0000,277.0
1140,92.5200,273.5
1140,96.0400,270.2
1140,99.5600,267.1
1140,103.0800,264.2
1140,106.6000,261.5
1140,110.1200,259.4
1140,113.6400,257.4
1140,117.1600,255.5
1140,120.6800,253.7
1140,124.2000,252.0
1140,127.7200,250.4
1140,131.2400,248.9
1140,134.7600,247.5
1140,138.2800,246.2
1140,141.8000,244.9
1140,145.3200,243.7
1140,148.8400,242.5
1140,152.3600,241.4
1140,155.8800,240.4
1140,159.4000,239.3
1140,162.9200,238.4
1140,166.4400,237.5
1140,169.9600,236.6
1140,173.4800,235.7
1140,177.0000,234.9
1140,180.5200,234.1
1140,184.0400,233.4
1140,187.5600,232.6
1140,191.0800,231.9
1140,194.6000,231.3
1140,198.1200,230.6
1140,201.6400,230.1
1140,205.1600,230.7
1140,208.6800,231.4
1140,212.2000,232.0
1140,215.7200,232.7
1140,219.2400,233.4
1140,222.7600,234.1
1140,226.2800,234.9
1140,229.8000,235.6
1140,233.3200,236.4
1159,1.0000,7754.1
1159,4.5200,1871.7
1159,8.0400,1139.7
1159,11.5600,853.3
1159,15.0800,700.5
1159,18.6000,605.3
1159,22.1200,540.4
1159,25.6400,493.1
1159,29.1600,457.3
1159,32.6800,429.0
1159,36.2000,406.2
1159,39.7200,387.4
1159,43.2400,371.6
1159,46.7600,358.1
1159,50.2800,346.4
1159,53.8000,336.3
1159,57.3200,327.3
1159,60.8400,319.4
1159,64.3600,312.3
1159,67.8800,305.9
1159,71.4000,300.0
1159,74.9200,294.8
1159,78.4400,289.9
1159,81.9600,285.5
1159,85.4800,281.3
1159,89.0000,277.5
1159,92.5200,274.0
1159,96.0400,270.7
1159,99.5600,267.6
1159,103.0800,264.7
1159,106.6000,261.9
1159,110.1200,259.7
1159,113.6400,257.7
1159,117.1600,255.8
1159,120.6800,254.0
1159,124.2000,252.3
1159,127.7200,250.7
1159,131.2400,249.2
1159,134.7600,247.8
1159,138.2800,246.4
1159,141.8000,245.1
1159,145.3200,243.9
1159,148.8400,242.7
1159,152.3600,241.6
1159,155.8800,240.6
1159,159.4000,239.5
1159,162.9200,238.6
1159,166.4400,237.6
1159,169.9600,236.7
1159,173.4800,235.9
1159,177.0000,235.1
1159,180.5200,234.3
1159,184.0400,233.5
1159,187.5600,232.8
1159,191.0800,232.1
1159,194.6000,231.4
1159,198.1200,230.7
1159,201.6400,230.1
1159,205.1600,230.2
1159,208.6800,230.8
1159,212.2000,231.5
1159,215.7200,232.1
1159,219.2400,232.8
1159,222.7600,233.5
1159,226.2800,234.2
1159,229.8000,235.0
1159,233.3200,235.8
1159,236.8400,236.6
1177,1.0000,7803.4
1177,4.5200,1882.5
1177,8.0400,1145.8
1177,11.5600,857.5
1177,15.0800,703.7
1177,18.6000,607.9
1177,22.1200,542.5
1177,25.6400,495.0
1177,29.1600,458.9
1177,32.6800,430.5
1177,36.2000,407.5
1177,39.7200,388.6
1177,43.2400,372.7
1177,46.7600,359.1
1177,50.2800,347.4
1177,53.8000,337.2
1177,57.3200,328.2
1177,60.8400,320.2
1177,64.3600,313.0
1177,67.8800,306.6
