corner,duty,candidate,seed,margin_vs_ruler_pct
grade_heavy,LH-520,S4p,8101,4.97758
grade_heavy,LH-520,S4p,8102,2.16477
grade_heavy,LH-520,S4p,8103,1.07635
grade_heavy,LH-520,S4p,8104,1.58406
grade_heavy,LH-520,S4p,8105,-3.54865
grade_heavy,LH-520,S4p,8106,4.37358
grade_heavy,LH-520,S4p,8107,1.24424
grade_heavy,LH-520,S4p,8108,5.25162
cold_minus10C,GH-REG-165,S5,8101,3.52951
cold_minus10C,GH-REG-165,S5,8102,3.29986
cold_minus10C,GH-REG-165,S5,8103,0.266341
cold_minus10C,GH-REG-165,S5,8104,0.61634
cold_minus10C,GH-REG-165,S5,8105,2.98313
cold_minus10C,GH-REG-165,S5,8106,4.29572
cold_minus10C,GH-REG-165,S5,8107,3.38225
cold_minus10C,GH-REG-165,S5,8108,2.49355
cold_minus10C,GH-REG-165,S5-13L,8101,5.35932
cold_minus10C,GH-REG-165,S5-13L,8102,5.50811
cold_minus10C,GH-REG-165,S5-13L,8103,3.93036
cold_minus10C,GH-REG-165,S5-13L,8104,4.73881
cold_minus10C,GH-REG-165,S5-13L,8105,5.26789
cold_minus10C,GH-REG-165,S5-13L,8106,7.87048
cold_minus10C,GH-REG-165,S5-13L,8107,5.00588
cold_minus10C,GH-REG-165,S5-13L,8108,4.23244
cold_minus10C,GH-REG-165,S6,8101,7.66294
cold_minus10C,GH-REG-165,S6,8102,7.62586
cold_minus10C,GH-REG-165,S6,8103,7.88541
cold_minus10C,GH-REG-165,S6,8104,7.56261
cold_minus10C,GH-REG-165,S6,8105,7.63059
cold_minus10C,GH-REG-165,S6,8106,7.63541
cold_minus10C,GH-REG-165,S6,8107,7.4675
cold_minus10C,GH-REG-165,S6,8108,7.58592
cold_minus10C,GH-REG-165,S7,8101,6.2531
cold_minus10C,GH-REG-165,S7,8102,3.58393
cold_minus10C,GH-REG-165,S7,8103,4.0444
cold_minus10C,GH-REG-165,S7,8104,5.28318
cold_minus10C,GH-REG-165,S7,8105,7.33562
cold_minus10C,GH-REG-165,S7,8106,5.25065
cold_minus10C,GH-REG-165,S7,8107,4.68883
cold_minus10C,GH-REG-165,S7,8108,4.46642
cold_minus10C,GH-REG-165,S4p,8101,11.2113
cold_minus10C,GH-REG-165,S4p,8102,7.39868
cold_minus10C,GH-REG-165,S4p,8103,8.41842
cold_minus10C,GH-REG-165,S4p,8104,11.3762
cold_minus10C,GH-REG-165,S4p,8105,14.8841
cold_minus10C,GH-REG-165,S4p,8106,11.5952
cold_minus10C,GH-REG-165,S4p,8107,9.9007
cold_minus10C,GH-REG-165,S4p,8108,9.58927
cold_minus10C,LH-520,S5,8101,-3.85774
cold_minus10C,LH-520,S5,8102,-4.55671
cold_minus10C,LH-520,S5,8103,-2.93382
cold_minus10C,LH-520,S5,8104,-2.69327
cold_minus10C,LH-520,S5,8105,-6.59563
cold_minus10C,LH-520,S5,8106,-3.6128
cold_minus10C,LH-520,S5,8107,-4.89064
cold_minus10C,LH-520,S5,8108,-2.39431
cold_minus10C,LH-520,S5-13L,8101,-1.3262
cold_minus10C,LH-520,S5-13L,8102,-1.00114
cold_minus10C,LH-520,S5-13L,8103,-0.711327
cold_minus10C,LH-520,S5-13L,8104,-0.453094
cold_minus10C,LH-520,S5-13L,8105,-3.21442
cold_minus10C,LH-520,S5-13L,8106,-0.948041
cold_minus10C,LH-520,S5-13L,8107,-2.09796
cold_minus10C,LH-520,S5-13L,8108,-0.476863
cold_minus10C,LH-520,S6,8101,7.39167
cold_minus10C,LH-520,S6,8102,7.36444
cold_minus10C,LH-520,S6,8103,7.46547
cold_minus10C,LH-520,S6,8104,7.39713
cold_minus10C,LH-520,S6,8105,7.61301
cold_minus10C,LH-520,S6,8106,7.36886
cold_minus10C,LH-520,S6,8107,7.49684
cold_minus10C,LH-520,S6,8108,7.35539
cold_minus10C,LH-520,S7,8101,0.0845391
cold_minus10C,LH-520,S7,8102,-0.777732
cold_minus10C,LH-520,S7,8103,-1.02589
cold_minus10C,LH-520,S7,8104,-0.771532
cold_minus10C,LH-520,S7,8105,-1.98047
cold_minus10C,LH-520,S7,8106,-0.42696
cold_minus10C,LH-520,S7,8107,-1.04712
cold_minus10C,LH-520,S7,8108,0.00973509
cold_minus10C,LH-520,S4p,8101,-3.86527
cold_minus10C,LH-520,S4p,8102,-5.18775
cold_minus10C,LH-520,S4p,8103,-5.93449
cold_minus10C,LH-520,S4p,8104,-6.13568
cold_minus10C,LH-520,S4p,8105,-9.49757
cold_minus10C,LH-520,S4p,8106,-3.40553
cold_minus10C,LH-520,S4p,8107,-6.1245
cold_minus10C,LH-520,S4p,8108,-3.42988
hot_alt_2000m_45C,GH-REG-165,S5,8101,4.2836
hot_alt_2000m_45C,GH-REG-165,S5,8102,3.84653
hot_alt_2000m_45C,GH-REG-165,S5,8103,0.490505
hot_alt_2000m_45C,GH-REG-165,S5,8104,1.17748
hot_alt_2000m_45C,GH-REG-165,S5,8105,3.93157
hot_alt_2000m_45C,GH-REG-165,S5,8106,4.95681
hot_alt_2000m_45C,GH-REG-165,S5,8107,4.38266
