corner,candidate,duty,seed,distance_km,duration_s,avg_speed_kmh,power_limited_frac,payload_kg,gcw_kg,fuel_g_raw,fuel_g_corrected,fuel_L_per_100km,grid_kWh,MJ_primary_per_payload_tkm,MJ_tank_per_payload_tkm,g_CO2_per_payload_tkm,unserved_kWh,charge_deficit_kWh,correction_share,correction_eta
nominal,S4p,LH-520,8108,520,22225.6,84.2273,0.0462438,20134.4,36300,117415,139185,32.171,110.616,0.756954,0.568976,53.1325,101.632,0,0.156411,0.392671
payload_plus20,S0R,GH-REG-165,8101,165,10070.3,58.9854,0.207688,24786,40431,66972,66993.6,48.8006,0,0.83432,0.70111,61.8262,0.0980045,-0,0.000321938,0.382207
payload_plus20,S0R,GH-REG-165,8102,165,9888.4,60.0704,0.226829,24786,40431,74003.6,74024.6,53.9223,0,0.921884,0.774692,68.3149,0.0955559,-0,0.000283461,0.383043
payload_plus20,S0R,GH-REG-165,8103,165,10083.6,58.9076,0.215705,24786,40431,70787.5,70809.3,51.5801,0,0.88184,0.741042,65.3476,0.0987856,-0,0.000306584,0.382748
payload_plus20,S0R,GH-REG-165,8104,165.001,9913.4,59.9194,0.200938,24786,40431,67153.5,67175.6,48.9329,0,0.836582,0.70301,61.9938,0.100506,-0,0.00032904,0.382464
payload_plus20,S0R,GH-REG-165,8105,165.001,9816.3,60.512,0.213327,24786,40431,65884.1,65904.1,48.0068,0,0.820749,0.689705,60.8205,0.0911175,-0,0.000304142,0.38236
payload_plus20,S0R,GH-REG-165,8106,165.001,10190,58.2927,0.218575,24786,40431,70871.1,70892.5,51.6406,0,0.882874,0.741911,65.4242,0.097434,-0,0.000301746,0.383114
payload_plus20,S0R,GH-REG-165,8107,165.001,9742.6,60.9696,0.20637,24786,40431,66955.2,66976.5,48.788,0,0.834105,0.700929,61.8103,0.0967315,-0,0.000318166,0.381812
payload_plus20,S0R,GH-REG-165,8108,165.001,9800,60.6125,0.191814,24786,40431,65625.4,65646.4,47.8192,0,0.817541,0.68701,60.5828,0.0954753,-0,0.000320219,0.382024
payload_plus20,S0R,LH-520,8101,520,22390.7,83.6062,0.162942,24786,40431,176580,176584,40.8154,0,0.697802,0.586388,51.7097,0.0190144,-0,2.32132e-05,0.39017
payload_plus20,S0R,LH-520,8102,520,20753.4,90.2022,0.209415,24786,40431,179180,179185,41.4165,0,0.708078,0.595024,52.4712,0.0194817,-0,2.35894e-05,0.387675
payload_plus20,S0R,LH-520,8103,520,22292.5,83.9745,0.181998,24786,40431,190597,190602,44.0554,0,0.753195,0.632937,55.8145,0.0201505,-0,2.27345e-05,0.391139
payload_plus20,S0R,LH-520,8104,520,23157.2,80.8388,0.156504,24786,40431,185357,185361,42.8442,0,0.732487,0.615535,54.2799,0.0196659,-0,2.28472e-05,0.390589
payload_plus20,S0R,LH-520,8105,520,21331.5,87.7576,0.225464,24786,40431,203530,203535,47.0448,0,0.804303,0.675885,59.6018,0.0209458,-0,2.20988e-05,0.391695
payload_plus20,S0R,LH-520,8106,520,22063.2,84.8472,0.161639,24786,40431,175384,175388,40.539,0,0.693076,0.582417,51.3595,0.0188049,-0,2.31253e-05,0.38998
payload_plus20,S0R,LH-520,8107,520,21111.1,88.6738,0.226619,24786,40431,192829,192833,44.5713,0,0.762013,0.640347,56.468,0.0195962,-0,2.19372e-05,0.389644
payload_plus20,S0R,LH-520,8108,520,22939.1,81.6074,0.139848,24786,40431,170338,170343,39.3728,0,0.673137,0.565662,49.8819,0.0209943,-0,2.66196e-05,0.389434
payload_plus20,S5,GH-REG-165,8101,165,11561.6,51.377,0.36992,23964.1,40294,51721.7,61674.1,44.9258,0,0.794418,0.667578,58.8693,47.1112,-3.69589,0.161371,0.366922
payload_plus20,S5,GH-REG-165,8102,165.001,11383,52.1833,0.408948,23964.1,40294,57753.9,68616.6,49.9828,0,0.883841,0.742724,65.4959,50.2571,-2.39907,0.158311,0.370572
payload_plus20,S5,GH-REG-165,8103,165,11813,50.2837,0.38889,23964.1,40294,52682.8,67510,49.1767,0,0.869588,0.730746,64.4396,67.5458,-3.32866,0.21963,0.364293
payload_plus20,S5,GH-REG-165,8104,165,11482,51.7332,0.378171,23964.1,40294,50899.2,63353.4,46.1489,0,0.816048,0.685754,60.4721,57.3949,-3.04882,0.196584,0.367037
payload_plus20,S5,GH-REG-165,8105,165.001,11435.6,51.9433,0.380816,23964.1,40294,49610.5,61286.8,44.6434,0,0.789425,0.663383,58.4993,54.9944,-3.77051,0.190518,0.369001
payload_plus20,S5,GH-REG-165,8106,165.001,11566.8,51.3542,0.376549,23964.1,40294,55872.6,65055.5,47.3887,0,0.83797,0.704176,62.0966,44.291,-3.51434,0.141155,0.3735
payload_plus20,S5,GH-REG-165,8107,165.001,10690.3,55.5646,0.342887,23964.1,40294,55957.5,61548,44.8338,0,0.792791,0.666211,58.7488,26.2927,-1.39034,0.0908314,0.37467
payload_plus20,S5,GH-REG-165,8108,165.001,10950,54.2468,0.332344,23964.1,40294,52539.7,60695.7,44.2129,0,0.781812,0.656985,57.9352,39.2362,-3.22501,0.134376,0.371377
